Hisp.id,Hisp.display-label,Sex.id,Sex.display-label,Year.id,Year.display-label,GEO.id,GEO.id2,GEO.display-label,wac,bac,iac,aac,nac
hisp,Hispanic,totsex,Both Sexes,est72012,"July 1, 2012",0400000US01,01,Alabama,169231,17097,10425,2997,3808
nhisp,Not Hispanic,female,Female,cen42010,"April 1, 2010 Census",0400000US01,01,Alabama,1665711,680198,27093,34372,2114
nhisp,Not Hispanic,female,Female,est42010,"April 1, 2010 Estimates Base",0400000US01,01,Alabama,1665712,680200,27093,34372,2114
nhisp,Not Hispanic,female,Female,est72010,"July 1, 2010",0400000US01,01,Alabama,1666524,682019,27218,34618,2128
nhisp,Not Hispanic,female,Female,est72011,"July 1, 2011",0400000US01,01,Alabama,1668552,687391,27520,36025,2199
nhisp,Not Hispanic,female,Female,est72012,"July 1, 2012",0400000US01,01,Alabama,1669964,692184,27838,37537,2298
nhisp,Not Hispanic,male,Male,cen42010,"April 1, 2010 Census",0400000US01,01,Alabama,1594601,592564,25858,31076,2013
nhisp,Not Hispanic,male,Male,est42010,"April 1, 2010 Estimates Base",0400000US01,01,Alabama,1594604,592567,25858,31076,2013
nhisp,Not Hispanic,male,Male,est72010,"July 1, 2010",0400000US01,01,Alabama,1594260,594210,25890,31307,2008
nhisp,Not Hispanic,male,Male,est72011,"July 1, 2011",0400000US01,01,Alabama,1595591,598525,26269,32363,2075
nhisp,Not Hispanic,male,Male,est72012,"July 1, 2012",0400000US01,01,Alabama,1597200,603514,26606,33573,2154
nhisp,Not Hispanic,totsex,Both Sexes,cen42010,"April 1, 2010 Census",0400000US01,01,Alabama,3260312,1272762,52951,65448,4127
nhisp,Not Hispanic,totsex,Both Sexes,est42010,"April 1, 2010 Estimates Base",0400000US01,01,Alabama,3260316,1272767,52951,65448,4127
nhisp,Not Hispanic,totsex,Both Sexes,est72010,"July 1, 2010",0400000US01,01,Alabama,3260784,1276229,53108,65925,4136
nhisp,Not Hispanic,totsex,Both Sexes,est72011,"July 1, 2011",0400000US01,01,Alabama,3264143,1285916,53789,68388,4274
nhisp,Not Hispanic,totsex,Both Sexes,est72012,"July 1, 2012",0400000US01,01,Alabama,3267164,1295698,54444,71110,4452
tothisp,Total,female,Female,cen42010,"April 1, 2010 Census",0400000US01,01,Alabama,1736133,687610,31369,35701,3712
tothisp,Total,female,Female,est42010,"April 1, 2010 Estimates Base",0400000US01,01,Alabama,1736134,687612,31369,35701,3712
tothisp,Total,female,Female,est72010,"July 1, 2010",0400000US01,01,Alabama,1737302,689492,31515,35947,3730
tothisp,Total,female,Female,est72011,"July 1, 2011",0400000US01,01,Alabama,1742235,695158,31975,37400,3801
tothisp,Total,female,Female,est72012,"July 1, 2012",0400000US01,01,Alabama,1745829,700323,32399,38948,3895
tothisp,Total,male,Male,cen42010,"April 1, 2010 Census",0400000US01,01,Alabama,1684160,600925,31560,32656,4272
tothisp,Total,male,Male,est42010,"April 1, 2010 Estimates Base",0400000US01,01,Alabama,1684163,600928,31560,32656,4272
tothisp,Total,male,Male,est72010,"July 1, 2010",0400000US01,01,Alabama,1684239,602647,31624,32892,4277
tothisp,Total,male,Male,est72011,"July 1, 2011",0400000US01,01,Alabama,1687504,607154,32024,33970,4281
tothisp,Total,male,Male,est72012,"July 1, 2012",0400000US01,01,Alabama,1690566,612472,32470,35159,4365
tothisp,Total,totsex,Both Sexes,cen42010,"April 1, 2010 Census",0400000US01,01,Alabama,3420293,1288535,62929,68357,7984
tothisp,Total,totsex,Both Sexes,est42010,"April 1, 2010 Estimates Base",0400000US01,01,Alabama,3420297,1288540,62929,68357,7984
tothisp,Total,totsex,Both Sexes,est72010,"July 1, 2010",0400000US01,01,Alabama,3421541,1292139,63139,68839,8007
tothisp,Total,totsex,Both Sexes,est72011,"July 1, 2011",0400000US01,01,Alabama,3429739,1302312,63999,71370,8082
tothisp,Total,totsex,Both Sexes,est72012,"July 1, 2012",0400000US01,01,Alabama,3436395,1312795,64869,74107,8260
hisp,Hispanic,female,Female,cen42010,"April 1, 2010 Census",0400000US02,02,Alaska,15303,1867,2959,1091,432
hisp,Hispanic,female,Female,est42010,"April 1, 2010 Estimates Base",0400000US02,02,Alaska,15303,1867,2959,1091,432
hisp,Hispanic,female,Female,est72010,"July 1, 2010",0400000US02,02,Alaska,15442,1885,2985,1096,436
hisp,Hispanic,female,Female,est72011,"July 1, 2011",0400000US02,02,Alaska,16249,1897,3052,1150,448
hisp,Hispanic,female,Female,est72012,"July 1, 2012",0400000US02,02,Alaska,17277,1955,3154,1156,446
hisp,Hispanic,male,Male,cen42010,"April 1, 2010 Census",0400000US02,02,Alaska,16081,1836,3316,1216,389
hisp,Hispanic,male,Male,est42010,"April 1, 2010 Estimates Base",0400000US02,02,Alaska,16081,1836,3316,1216,389
hisp,Hispanic,male,Male,est72010,"July 1, 2010",0400000US02,02,Alaska,16196,1846,3355,1225,407
hisp,Hispanic,male,Male,est72011,"July 1, 2011",0400000US02,02,Alaska,17333,1930,3481,1288,437
hisp,Hispanic,male,Male,est72012,"July 1, 2012",0400000US02,02,Alaska,19079,2044,3530,1333,448
hisp,Hispanic,totsex,Both Sexes,cen42010,"April 1, 2010 Census",0400000US02,02,Alaska,31384,3703,6275,2307,821
hisp,Hispanic,totsex,Both Sexes,est42010,"April 1, 2010 Estimates Base",0400000US02,02,Alaska,31384,3703,6275,2307,821
hisp,Hispanic,totsex,Both Sexes,est72010,"July 1, 2010",0400000US02,02,Alaska,31638,3731,6340,2321,843
hisp,Hispanic,totsex,Both Sexes,est72011,"July 1, 2011",0400000US02,02,Alaska,33582,3827,6533,2438,885
hisp,Hispanic,totsex,Both Sexes,est72012,"July 1, 2012",0400000US02,02,Alaska,36356,3999,6684,2489,894
nhisp,Not Hispanic,female,Female,cen42010,"April 1, 2010 Census",0400000US02,02,Alaska,234832,13946,66253,25502,5148
nhisp,Not Hispanic,female,Female,est42010,"April 1, 2010 Estimates Base",0400000US02,02,Alaska,234832,13946,66253,25502,5148
nhisp,Not Hispanic,female,Female,est72010,"July 1, 2010",0400000US02,02,Alaska,235917,14094,66736,25786,5218
nhisp,Not Hispanic,female,Female,est72011,"July 1, 2011",0400000US02,02,Alaska,238506,14678,67570,26716,5457
nhisp,Not Hispanic,female,Female,est72012,"July 1, 2012",0400000US02,02,Alaska,238169,15409,67750,27419,5724
nhisp,Not Hispanic,male,Male,cen42010,"April 1, 2010 Census",0400000US02,02,Alaska,261493,16518,67234,23134,5391
nhisp,Not Hispanic,male,Male,est42010,"April 1, 2010 Estimates Base",0400000US02,02,Alaska,261493,16518,67234,23134,5391
nhisp,Not Hispanic,male,Male,est72010,"July 1, 2010",0400000US02,02,Alaska,262588,16671,67705,23409,5444
nhisp,Not Hispanic,male,Male,est72011,"July 1, 2011",0400000US02,02,Alaska,263754,17205,68444,24377,5634
nhisp,Not Hispanic,male,Male,est72012,"July 1, 2012",0400000US02,02,Alaska,265081,18646,68473,25218,5948
nhisp,Not Hispanic,totsex,Both Sexes,cen42010,"April 1, 2010 Census",0400000US02,02,Alaska,496325,30464,133487,48636,10539
nhisp,Not Hispanic,totsex,Both Sexes,est42010,"April 1, 2010 Estimates Base",0400000US02,02,Alaska,496325,30464,133487,48636,10539
nhisp,Not Hispanic,totsex,Both Sexes,est72010,"July 1, 2010",0400000US02,02,Alaska,498505,30765,134441,49195,10662
nhisp,Not Hispanic,totsex,Both Sexes,est72011,"July 1, 2011",0400000US02,02,Alaska,502260,31883,136014,51093,11091
nhisp,Not Hispanic,totsex,Both Sexes,est72012,"July 1, 2012",0400000US02,02,Alaska,503250,34055,136223,52637,11672
tothisp,Total,female,Female,cen42010,"April 1, 2010 Census",0400000US02,02,Alaska,250135,15813,69212,26593,5580
tothisp,Total,female,Female,est42010,"April 1, 2010 Estimates Base",0400000US02,02,Alaska,250135,15813,69212,26593,5580
tothisp,Total,female,Female,est72010,"July 1, 2010",0400000US02,02,Alaska,251359,15979,69721,26882,5654
tothisp,Total,female,Female,est72011,"July 1, 2011",0400000US02,02,Alaska,254755,16575,70622,27866,5905
tothisp,Total,female,Female,est72012,"July 1, 2012",0400000US02,02,Alaska,255446,17364,70904,28575,6170
tothisp,Total,male,Male,cen42010,"April 1, 2010 Census",0400000US02,02,Alaska,277574,18354,70550,24350,5780
tothisp,Total,male,Male,est42010,"April 1, 2010 Estimates Base",0400000US02,02,Alaska,277574,18354,70550,24350,5780
tothisp,Total,male,Male,est72010,"July 1, 2010",0400000US02,02,Alaska,278784,18517,71060,24634,5851
tothisp,Total,male,Male,est72011,"July 1, 2011",0400000US02,02,Alaska,281087,19135,71925,25665,6071
tothisp,Total,male,Male,est72012,"July 1, 2012",0400000US02,02,Alaska,284160,20690,72003,26551,6396
tothisp,Total,totsex,Both Sexes,cen42010,"April 1, 2010 Census",0400000US02,02,Alaska,527709,34167,139762,50943,11360
tothisp,Total,totsex,Both Sexes,est42010,"April 1, 2010 Estimates Base",0400000US02,02,Alaska,527709,34167,139762,50943,11360
tothisp,Total,totsex,Both Sexes,est72010,"July 1, 2010",0400000US02,02,Alaska,530143,34496,140781,51516,11505
tothisp,Total,totsex,Both Sexes,est72011,"July 1, 2011",0400000US02,02,Alaska,535842,35710,142547,53531,11976
tothisp,Total,totsex,Both Sexes,est72012,"July 1, 2012",0400000US02,02,Alaska,539606,38054,142907,55126,12566
hisp,Hispanic,female,Female,cen42010,"April 1, 2010 Census",0400000US04,04,Arizona,873162,27508,48330,14329,4039
hisp,Hispanic,female,Female,est42010,"April 1, 2010 Estimates Base",0400000US04,04,Arizona,873161,27508,48330,14329,4039
hisp,Hispanic,female,Female,est72010,"July 1, 2010",0400000US04,04,Arizona,878114,27714,48644,14440,4064
hisp,Hispanic,female,Female,est72011,"July 1, 2011",0400000US04,04,Arizona,889616,28487,49619,14870,4183
hisp,Hispanic,female,Female,est72012,"July 1, 2012",0400000US04,04,Arizona,906762,29393,50820,15356,4302
hisp,Hispanic,male,Male,cen42010,"April 1, 2010 Census",0400000US04,04,Arizona,879503,26851,51441,14181,4122
hisp,Hispanic,male,Male,est42010,"April 1, 2010 Estimates Base",0400000US04,04,Arizona,879503,26851,51441,14181,4122
hisp,Hispanic,male,Male,est72010,"July 1, 2010",0400000US04,04,Arizona,884478,26984,51872,14245,4142
hisp,Hispanic,male,Male,est72011,"July 1, 2011",0400000US04,04,Arizona,898953,27764,53027,14728,4243
hisp,Hispanic,male,Male,est72012,"July 1, 2012",0400000US04,04,Arizona,918958,28771,54491,15269,4418
hisp,Hispanic,totsex,Both Sexes,cen42010,"April 1, 2010 Census",0400000US04,04,Arizona,1752665,54359,99771,28510,8161
hisp,Hispanic,totsex,Both Sexes,est42010,"April 1, 2010 Estimates Base",0400000US04,04,Arizona,1752664,54359,99771,28510,8161
hisp,Hispanic,totsex,Both Sexes,est72010,"July 1, 2010",0400000US04,04,Arizona,1762592,54698,100516,28685,8206
hisp,Hispanic,totsex,Both Sexes,est72011,"July 1, 2011",0400000US04,04,Arizona,1788569,56251,102646,29598,8426
hisp,Hispanic,totsex,Both Sexes,est72012,"July 1, 2012",0400000US04,04,Arizona,1825720,58164,105311,30625,8720
nhisp,Not Hispanic,female,Female,cen42010,"April 1, 2010 Census",0400000US04,04,Arizona,1922943,136231,150968,112707,9640
nhisp,Not Hispanic,female,Female,est42010,"April 1, 2010 Estimates Base",0400000US04,04,Arizona,1922943,136231,150968,112707,9640
nhisp,Not Hispanic,female,Female,est72010,"July 1, 2010",0400000US04,04,Arizona,1925940,136702,151280,113612,9675
nhisp,Not Hispanic,female,Female,est72011,"July 1, 2011",0400000US04,04,Arizona,1931490,140688,152833,117926,9932
nhisp,Not Hispanic,female,Female,est72012,"July 1, 2012",0400000US04,04,Arizona,1945003,145780,154970,122777,10235
nhisp,Not Hispanic,male,Male,cen42010,"April 1, 2010 Census",0400000US04,04,Arizona,1879261,148039,143457,100772,10630
nhisp,Not Hispanic,male,Male,est42010,"April 1, 2010 Estimates Base",0400000US04,04,Arizona,1879261,148039,143456,100772,10630
nhisp,Not Hispanic,male,Male,est72010,"July 1, 2010",0400000US04,04,Arizona,1881914,148559,143801,101511,10658
nhisp,Not Hispanic,male,Male,est72011,"July 1, 2011",0400000US04,04,Arizona,1888066,152728,145310,105481,10891
nhisp,Not Hispanic,male,Male,est72012,"July 1, 2012",0400000US04,04,Arizona,1899795,158002,147175,109981,11246
nhisp,Not Hispanic,totsex,Both Sexes,cen42010,"April 1, 2010 Census",0400000US04,04,Arizona,3802204,284270,294425,213479,20270
nhisp,Not Hispanic,totsex,Both Sexes,est42010,"April 1, 2010 Estimates Base",0400000US04,04,Arizona,3802204,284270,294424,213479,20270
nhisp,Not Hispanic,totsex,Both Sexes,est72010,"July 1, 2010",0400000US04,04,Arizona,3807854,285261,295081,215123,20333
nhisp,Not Hispanic,totsex,Both Sexes,est72011,"July 1, 2011",0400000US04,04,Arizona,3819556,293416,298143,223407,20823
nhisp,Not Hispanic,totsex,Both Sexes,est72012,"July 1, 2012",0400000US04,04,Arizona,3844798,303782,302145,232758,21481
tothisp,Total,female,Female,cen42010,"April 1, 2010 Census",0400000US04,04,Arizona,2796105,163739,199298,127036,13679
tothisp,Total,female,Female,est42010,"April 1, 2010 Estimates Base",0400000US04,04,Arizona,2796104,163739,199298,127036,13679
tothisp,Total,female,Female,est72010,"July 1, 2010",0400000US04,04,Arizona,2804054,164416,199924,128052,13739
tothisp,Total,female,Female,est72011,"July 1, 2011",0400000US04,04,Arizona,2821106,169175,202452,132796,14115
tothisp,Total,female,Female,est72012,"July 1, 2012",0400000US04,04,Arizona,2851765,175173,205790,138133,14537
tothisp,Total,male,Male,cen42010,"April 1, 2010 Census",0400000US04,04,Arizona,2758764,174890,194898,114953,14752
tothisp,Total,male,Male,est42010,"April 1, 2010 Estimates Base",0400000US04,04,Arizona,2758764,174890,194897,114953,14752
tothisp,Total,male,Male,est72010,"July 1, 2010",0400000US04,04,Arizona,2766392,175543,195673,115756,14800
tothisp,Total,male,Male,est72011,"July 1, 2011",0400000US04,04,Arizona,2787019,180492,198337,120209,15134
tothisp,Total,male,Male,est72012,"July 1, 2012",0400000US04,04,Arizona,2818753,186773,201666,125250,15664
tothisp,Total,totsex,Both Sexes,cen42010,"April 1, 2010 Census",0400000US04,04,Arizona,5554869,338629,394196,241989,28431
tothisp,Total,totsex,Both Sexes,est42010,"April 1, 2010 Estimates Base",0400000US04,04,Arizona,5554868,338629,394195,241989,28431
tothisp,Total,totsex,Both Sexes,est72010,"July 1, 2010",0400000US04,04,Arizona,5570446,339959,395597,243808,28539
tothisp,Total,totsex,Both Sexes,est72011,"July 1, 2011",0400000US04,04,Arizona,5608125,349667,400789,253005,29249
tothisp,Total,totsex,Both Sexes,est72012,"July 1, 2012",0400000US04,04,Arizona,5670518,361946,407456,263383,30201
hisp,Hispanic,female,Female,cen42010,"April 1, 2010 Census",0400000US05,05,Arkansas,79847,3693,4178,1122,615
hisp,Hispanic,female,Female,est42010,"April 1, 2010 Estimates Base",0400000US05,05,Arkansas,79847,3693,4178,1122,615
hisp,Hispanic,female,Female,est72010,"July 1, 2010",0400000US05,05,Arkansas,80343,3721,4207,1128,620
hisp,Hispanic,female,Female,est72011,"July 1, 2011",0400000US05,05,Arkansas,82985,3776,4365,1147,644
hisp,Hispanic,female,Female,est72012,"July 1, 2012",0400000US05,05,Arkansas,85618,3955,4571,1208,669
hisp,Hispanic,male,Male,cen42010,"April 1, 2010 Census",0400000US05,05,Arkansas,91293,4016,4691,1254,826
hisp,Hispanic,male,Male,est42010,"April 1, 2010 Estimates Base",0400000US05,05,Arkansas,91293,4016,4691,1254,826
hisp,Hispanic,male,Male,est72010,"July 1, 2010",0400000US05,05,Arkansas,91893,4048,4721,1263,829
hisp,Hispanic,male,Male,est72011,"July 1, 2011",0400000US05,05,Arkansas,94819,4168,4863,1287,834
hisp,Hispanic,male,Male,est72012,"July 1, 2012",0400000US05,05,Arkansas,98131,4346,5066,1313,843
hisp,Hispanic,totsex,Both Sexes,cen42010,"April 1, 2010 Census",0400000US05,05,Arkansas,171140,7709,8869,2376,1441
hisp,Hispanic,totsex,Both Sexes,est42010,"April 1, 2010 Estimates Base",0400000US05,05,Arkansas,171140,7709,8869,2376,1441
hisp,Hispanic,totsex,Both Sexes,est72010,"July 1, 2010",0400000US05,05,Arkansas,172236,7769,8928,2391,1449
hisp,Hispanic,totsex,Both Sexes,est72011,"July 1, 2011",0400000US05,05,Arkansas,177804,7944,9228,2434,1478
hisp,Hispanic,totsex,Both Sexes,est72012,"July 1, 2012",0400000US05,05,Arkansas,183749,8301,9637,2521,1512
nhisp,Not Hispanic,female,Female,cen42010,"April 1, 2010 Census",0400000US05,05,Arkansas,1128492,243884,22258,23008,3528
nhisp,Not Hispanic,female,Female,est42010,"April 1, 2010 Estimates Base",0400000US05,05,Arkansas,1128492,243884,22258,23008,3528
nhisp,Not Hispanic,female,Female,est72010,"July 1, 2010",0400000US05,05,Arkansas,1130219,244751,22338,23237,3575
nhisp,Not Hispanic,female,Female,est72011,"July 1, 2011",0400000US05,05,Arkansas,1132902,246376,22708,24336,3780
nhisp,Not Hispanic,female,Female,est72012,"July 1, 2012",0400000US05,05,Arkansas,1132918,247720,23169,25374,3967
nhisp,Not Hispanic,male,Male,cen42010,"April 1, 2010 Census",0400000US05,05,Arkansas,1088487,220825,21336,20675,3628
nhisp,Not Hispanic,male,Male,est42010,"April 1, 2010 Estimates Base",0400000US05,05,Arkansas,1088488,220825,21336,20675,3628
nhisp,Not Hispanic,male,Male,est72010,"July 1, 2010",0400000US05,05,Arkansas,1090357,221724,21401,20892,3706
nhisp,Not Hispanic,male,Male,est72011,"July 1, 2011",0400000US05,05,Arkansas,1092641,223342,21798,21962,3963
nhisp,Not Hispanic,male,Male,est72012,"July 1, 2012",0400000US05,05,Arkansas,1092537,224513,22251,22964,4161
nhisp,Not Hispanic,totsex,Both Sexes,cen42010,"April 1, 2010 Census",0400000US05,05,Arkansas,2216979,464709,43594,43683,7156
nhisp,Not Hispanic,totsex,Both Sexes,est42010,"April 1, 2010 Estimates Base",0400000US05,05,Arkansas,2216980,464709,43594,43683,7156
nhisp,Not Hispanic,totsex,Both Sexes,est72010,"July 1, 2010",0400000US05,05,Arkansas,2220576,466475,43739,44129,7281
nhisp,Not Hispanic,totsex,Both Sexes,est72011,"July 1, 2011",0400000US05,05,Arkansas,2225543,469718,44506,46298,7743
nhisp,Not Hispanic,totsex,Both Sexes,est72012,"July 1, 2012",0400000US05,05,Arkansas,2225455,472233,45420,48338,8128
tothisp,Total,female,Female,cen42010,"April 1, 2010 Census",0400000US05,05,Arkansas,1208339,247577,26436,24130,4143
tothisp,Total,female,Female,est42010,"April 1, 2010 Estimates Base",0400000US05,05,Arkansas,1208339,247577,26436,24130,4143
tothisp,Total,female,Female,est72010,"July 1, 2010",0400000US05,05,Arkansas,1210562,248472,26545,24365,4195
tothisp,Total,female,Female,est72011,"July 1, 2011",0400000US05,05,Arkansas,1215887,250152,27073,25483,4424
tothisp,Total,female,Female,est72012,"July 1, 2012",0400000US05,05,Arkansas,1218536,251675,27740,26582,4636
tothisp,Total,male,Male,cen42010,"April 1, 2010 Census",0400000US05,05,Arkansas,1179780,224841,26027,21929,4454
tothisp,Total,male,Male,est42010,"April 1, 2010 Estimates Base",0400000US05,05,Arkansas,1179781,224841,26027,21929,4454
tothisp,Total,male,Male,est72010,"July 1, 2010",0400000US05,05,Arkansas,1182250,225772,26122,22155,4535
tothisp,Total,male,Male,est72011,"July 1, 2011",0400000US05,05,Arkansas,1187460,227510,26661,23249,4797
tothisp,Total,male,Male,est72012,"July 1, 2012",0400000US05,05,Arkansas,1190668,228859,27317,24277,5004
tothisp,Total,totsex,Both Sexes,cen42010,"April 1, 2010 Census",0400000US05,05,Arkansas,2388119,472418,52463,46059,8597
tothisp,Total,totsex,Both Sexes,est42010,"April 1, 2010 Estimates Base",0400000US05,05,Arkansas,2388120,472418,52463,46059,8597
tothisp,Total,totsex,Both Sexes,est72010,"July 1, 2010",0400000US05,05,Arkansas,2392812,474244,52667,46520,8730
tothisp,Total,totsex,Both Sexes,est72011,"July 1, 2011",0400000US05,05,Arkansas,2403347,477662,53734,48732,9221
